id,gora,višina,priljubljenost,gorovje
1673,Rotovc,964,63,"Goriško, Notranjsko in Snežniško hribovje"
2622,Mišnice,961,22,"Goriško, Notranjsko in Snežniško hribovje"
1183,Kovk,961,75,"Goriško, Notranjsko in Snežniško hribovje"
2363,Križna gora nad Colom,957,59,"Goriško, Notranjsko in Snežniško hribovje"
784,Velika Špička,955,75,"Goriško, Notranjsko in Snežniško hribovje"
1162,Mala Plešivica,953,53,"Goriško, Notranjsko in Snežniško hribovje"
1763,Ježa,949,49,"Goriško, Notranjsko in Snežniško hribovje"
1225,Milanka,948,42,"Goriško, Notranjsko in Snežniško hribovje"
2752,Leskovica (nad Stražiščem),947,15,"Goriško, Notranjsko in Snežniško hribovje"
1477,Krempa,944,52,"Goriško, Notranjsko in Snežniško hribovje"
1223,Krimšček,940,55,"Goriško, Notranjsko in Snežniško hribovje"
802,Petričev hrib,937,62,"Goriško, Notranjsko in Snežniško hribovje"
1765,Deveti konfin,930,49,"Goriško, Notranjsko in Snežniško hribovje"
1212,Kopitnik,929,57,"Goriško, Notranjsko in Snežniško hribovje"
820,Srednji vrh pri Kozleku,923,48,"Goriško, Notranjsko in Snežniško hribovje"
1698,Dolski maj,912,47,"Goriško, Notranjsko in Snežniško hribovje"
1163,Velika Plešivica,908,55,"Goriško, Notranjsko in Snežniško hribovje"
1129,Lovska koča Urška,908,43,"Goriško, Notranjsko in Snežniško hribovje"
1764,Očna,906,45,"Goriško, Notranjsko in Snežniško hribovje"
1065,Dom na Travni Gori,906,62,"Goriško, Notranjsko in Snežniško hribovje"
840,Furlanovo zavetišče pri Abramu,900,88,"Goriško, Notranjsko in Snežniško hribovje"
2496,Kraguljc,897,22,"Goriško, Notranjsko in Snežniško hribovje"
2556,Bezgarska planina,895,19,"Goriško, Notranjsko in Snežniško hribovje"
2604,Marutnik,892,21,"Goriško, Notranjsko in Snežniško hribovje"
1683,Golič,890,73,"Goriško, Notranjsko in Snežniško hribovje"
1465,Gozdarska koča Pri logarnici,889,44,"Goriško, Notranjsko in Snežniško hribovje"
1692,Nadglavinjak,888,39,"Goriško, Notranjsko in Snežniško hribovje"
1208,Sekulak,888,61,"Goriško, Notranjsko in Snežniško hribovje"
651,Vrh Svetih Treh Kraljev,884,81,"Goriško, Notranjsko in Snežniško hribovje"
1691,Kavčič,879,55,"Goriško, Notranjsko in Snežniško hribovje"
799,Lovska koča na Planinski gori,879,66,"Goriško, Notranjsko in Snežniško hribovje"
2555,Loška stena,875,28,"Goriško, Notranjsko in Snežniško hribovje"
1221,Grmada (Planinska gora),873,71,"Goriško, Notranjsko in Snežniško hribovje"
2494,Sončnica (Reber),867,25,"Goriško, Notranjsko in Snežniško hribovje"
1987,Vrh Skopice,863,44,"Goriško, Notranjsko in Snežniško hribovje"
1144,Bele stene,863,53,"Goriško, Notranjsko in Snežniško hribovje"
1130,Križna gora,857,87,"Goriško, Notranjsko in Snežniško hribovje"
814,Navrše,857,59,"Goriško, Notranjsko in Snežniško hribovje"
2605,Sveta Marija Magdalena (Gore),851,20,"Goriško, Notranjsko in Snežniško hribovje"
2135,Belovka,848,44,"Goriško, Notranjsko in Snežniško hribovje"
815,Otliški maj,847,59,"Goriško, Notranjsko in Snežniško hribovje"
2151,Sveti Vid (Vidovska planota),846,48,"Goriško, Notranjsko in Snežniško hribovje"
2497,Pravi vrh,830,13,"Goriško, Notranjsko in Snežniško hribovje"
1416,Bivak Črna peč,830,53,"Goriško, Notranjsko in Snežniško hribovje"
2495,Podrta gora nad Ajdovščino,827,28,"Goriško, Notranjsko in Snežniško hribovje"
136,Kurešček,826,91,"Goriško, Notranjsko in Snežniško hribovje"
650,Koča na Vrhu Svetih Treh Kraljev,823,73,"Goriško, Notranjsko in Snežniško hribovje"
803,Polšakova koča na Zagori,822,47,"Goriško, Notranjsko in Snežniško hribovje"
807,Osojnica,820,69,"Goriško, Notranjsko in Snežniško hribovje"
1471,Ljubljanski vrh,819,67,"Goriško, Notranjsko in Snežniško hribovje"
2460,Lovska koča Trešnja ravan,818,21,"Goriško, Notranjsko in Snežniško hribovje"
1702,Sveti Socerb (Artviže),817,74,"Goriško, Notranjsko in Snežniško hribovje"
1429,Goli vrh (Cemarovnik),816,47,"Goriško, Notranjsko in Snežniško hribovje"
1466,Medvedje Brdo,814,77,"Goriško, Notranjsko in Snežniško hribovje"
870,Korada,812,91,"Goriško, Notranjsko in Snežniško hribovje"
1774,Globočak,809,50,"Goriško, Notranjsko in Snežniško hribovje"
1290,Mali Trebelnik,807,42,"Goriško, Notranjsko in Snežniško hribovje"
752,Sveti Lenart (Krvava Peč),805,63,"Goriško, Notranjsko in Snežniško hribovje"
2566,Ajdovščina,804,27,"Goriško, Notranjsko in Snežniško hribovje"
1690,Lipnik,804,69,"Goriško, Notranjsko in Snežniško hribovje"
869,Zavetišče na Koradi,803,69,"Goriško, Notranjsko in Snežniško hribovje"
779,Kojnik,802,79,"Goriško, Notranjsko in Snežniško hribovje"
744,Ulovka,801,80,"Goriško, Notranjsko in Snežniško hribovje"
816,Otliško okno,800,90,"Goriško, Notranjsko in Snežniško hribovje"
2331,Slap Kotel,799,51,"Goriško, Notranjsko in Snežniško hribovje"
1950,Ahac,799,51,"Goriško, Notranjsko in Snežniško hribovje"
863,Gradiška Tura,793,96,"Goriško, Notranjsko in Snežniško hribovje"
1958,Gradišče (Čepan),791,41,"Goriško, Notranjsko in Snežniško hribovje"
1729,Rakitna,789,80,"Goriško, Notranjsko in Snežniško hribovje"
798,Sveta Marija na Planinski gori,782,73,"Goriško, Notranjsko in Snežniško hribovje"
1957,Vrh,777,39,"Goriško, Notranjsko in Snežniško hribovje"
1411,Lovska koča Vojkovo,775,57,"Goriško, Notranjsko in Snežniško hribovje"
2534,Trenk,769,18,"Goriško, Notranjsko in Snežniško hribovje"
1173,Ortneški Stari grad,765,49,"Goriško, Notranjsko in Snežniško hribovje"
1608,Pečna reber,763,64,"Goriško, Notranjsko in Snežniško hribovje"
1074,Planinski dom na Kureščku,760,63,"Goriško, Notranjsko in Snežniško hribovje"
2284,Sveti Primož in Felicijan (Osredek),751,47,"Goriško, Notranjsko in Snežniško hribovje"
1945,Šilentabor,751,62,"Goriško, Notranjsko in Snežniško hribovje"
2339,Bloško jezero,748,82,"Goriško, Notranjsko in Snežniško hribovje"
1959,Veliko Gradišče,742,57,"Goriško, Notranjsko in Snežniško hribovje"
654,Dom na Goropekah,742,64,"Goriško, Notranjsko in Snežniško hribovje"
1766,Planinski dom pod Ježo,740,46,"Goriško, Notranjsko in Snežniško hribovje"
2002,Sveti Gregor na Slemenih,737,48,"Goriško, Notranjsko in Snežniško hribovje"
1157,Hrpeljska gora,737,55,"Goriško, Notranjsko in Snežniško hribovje"
3274,Škavnica,734,6,"Goriško, Notranjsko in Snežniško hribovje"
669,Zavetišče na Planini nad Vrhniko,733,95,"Goriško, Notranjsko in Snežniško hribovje"
1534,Koča na Kavcu,730,56,"Goriško, Notranjsko in Snežniško hribovje"
2583,Čičer,726,23,"Goriško, Notranjsko in Snežniško hribovje"
2449,Šenčurjev vrh,725,23,"Goriško, Notranjsko in Snežniško hribovje"
2545,Sveti Urh (Zavratec),724,20,"Goriško, Notranjsko in Snežniško hribovje"
1946,Sveti Martin (Šilentabor),723,46,"Goriško, Notranjsko in Snežniško hribovje"
1944,Primož,718,59,"Goriško, Notranjsko in Snežniško hribovje"
1159,Planina Jegno,715,49,"Goriško, Notranjsko in Snežniško hribovje"
1952,Stari grad,703,46,"Goriško, Notranjsko in Snežniško hribovje"
2416,Grad Lož (Pusti grad),698,26,"Goriško, Notranjsko in Snežniško hribovje"
3055,Sveti Janez Krstnik (Goropeke),682,9,"Goriško, Notranjsko in Snežniško hribovje"
450,Sveta Gora,681,90,"Goriško, Notranjsko in Snežniško hribovje"
2418,Sv. Katarina nad Novokračinami,675,24,"Goriško, Notranjsko in Snežniško hribovje"
2450,Sveta Barbara (Ravnik pri Hotedršici),674,21,"Goriško, Notranjsko in Snežniško hribovje"
3054,Goropeški grič (Pikrej),672,9,"Goriško, Notranjsko in Snežniško hribovje"
1213,Skozno,671,62,"Goriško, Notranjsko in Snežniško hribovje"
1125,Kokoš,670,95,"Goriško, Notranjsko in Snežniško hribovje"
2750,Rajna peč,656,18,"Goriško, Notranjsko in Snežniško hribovje"
864,Vodice,651,74,"Goriško, Notranjsko in Snežniško hribovje"
780,Jampršnik,649,55,"Goriško, Notranjsko in Snežniško hribovje"
849,Škabrijel,646,88,"Goriško, Notranjsko in Snežniško hribovje"
868,Trstelj,643,93,"Goriško, Notranjsko in Snežniško hribovje"
2626,Rimska trdnjava (Lanišče),635,20,"Goriško, Notranjsko in Snežniško hribovje"
2145,Frančiškov hrib,632,52,"Goriško, Notranjsko in Snežniško hribovje"
1424,Stol (Črni hribi),629,44,"Goriško, Notranjsko in Snežniško hribovje"
2561,Strmica,626,19,"Goriško, Notranjsko in Snežniško hribovje"
2507,Lovska koča Plehanov laz,625,20,"Goriško, Notranjsko in Snežniško hribovje"
1390,Partizanska bolnica Krvavice,620,62,"Goriško, Notranjsko in Snežniško hribovje"
2486,Kuk nad Paljevim,612,22,"Goriško, Notranjsko in Snežniško hribovje"
